id,surface,corpus,group,slot,mode,kind,text,renders,retrieval,constraints
hub.congress.s3.question,hub-sample,congress,The law,3,explorer,suggestion,What have witnesses told congressional hearings about impounded funds?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; Congress reaches 1789 only for public laws; hearings from 1933
hub.fr.title.search,hub-title,fr,The law,,search,suggestion,Search the Federal Register for a rule.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page; the Federal Register’s rules are complete from 1994; notices are still loading
hub.fr.title.explorer,hub-title,fr,The law,,explorer,suggestion,Ask the Federal Register which rules changed.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page; the Federal Register’s rules are complete from 1994; notices are still loading
hub.fr.s1.query,hub-sample,fr,The law,1,search,suggestion,cyber incident reporting,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; the Federal Register’s rules are complete from 1994; notices are still loading"
hub.fr.s1.question,hub-sample,fr,The law,1,explorer,suggestion,Which rules require a company to report a cyber incident to the government?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; the Federal Register’s rules are complete from 1994; notices are still loading
hub.fr.s2.query,hub-sample,fr,The law,2,search,suggestion,semiconductor export controls,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; the Federal Register’s rules are complete from 1994; notices are still loading"
hub.fr.s2.question,hub-sample,fr,The law,2,explorer,suggestion,What rules control the export of semiconductor manufacturing equipment?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; the Federal Register’s rules are complete from 1994; notices are still loading
hub.fr.s3.query,hub-sample,fr,The law,3,search,suggestion,immigration detention,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; the Federal Register’s rules are complete from 1994; notices are still loading"
hub.fr.s3.question,hub-sample,fr,The law,3,explorer,suggestion,What rules have agencies written about immigration detention since 1994?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; the Federal Register’s rules are complete from 1994; notices are still loading
hub.presidential.title.search,hub-title,presidential,The law,,search,suggestion,Search the presidency’s orders for a name.,"hub, resting state (the h1)",,"measured to wrap at 1100/390 — a longer sentence changes the page; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
hub.presidential.title.explorer,hub-title,presidential,The law,,explorer,suggestion,Ask the presidency what it ordered.,"hub, resting state (the h1)",,"measured to wrap at 1100/390 — a longer sentence changes the page; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
hub.presidential.s1.query,hub-sample,presidential,The law,1,search,suggestion,International Emergency Economic Powers Act,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
hub.presidential.s1.question,hub-sample,presidential,The law,1,explorer,suggestion,Which executive orders invoke the International Emergency Economic Powers Act?,"hub, resting state (typed into the box)",,"explorer mode — the topic in the reader’s own words; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
hub.presidential.s2.query,hub-sample,presidential,The law,2,search,suggestion,national emergency,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
hub.presidential.s2.question,hub-sample,presidential,The law,2,explorer,suggestion,"Which national emergencies has the President declared, and under what authority?","hub, resting state (typed into the box)",,"explorer mode — the topic in the reader’s own words; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
hub.presidential.s3.query,hub-sample,presidential,The law,3,search,suggestion,declassification,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
hub.presidential.s3.question,hub-sample,presidential,The law,3,explorer,suggestion,Which executive orders have directed agencies to declassify records?,"hub, resting state (typed into the box)",,"explorer mode — the topic in the reader’s own words; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
hub.olc.title.search,hub-title,olc,As read,,search,suggestion,Search the OLC’s opinions for a phrase.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page
hub.olc.title.explorer,hub-title,olc,As read,,explorer,suggestion,Ask the OLC what the executive may do.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page
hub.olc.s1.query,hub-sample,olc,As read,1,search,suggestion,war powers,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question"
hub.olc.s1.question,hub-sample,olc,As read,1,explorer,suggestion,How has OLC read the President’s power to use military force without Congress?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words
hub.olc.s2.query,hub-sample,olc,As read,2,search,suggestion,executive privilege,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question"
hub.olc.s2.question,hub-sample,olc,As read,2,explorer,suggestion,How has OLC described executive privilege over White House communications?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words
hub.olc.s3.query,hub-sample,olc,As read,3,search,suggestion,recess appointments,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question"
hub.olc.s3.question,hub-sample,olc,As read,3,explorer,suggestion,What has OLC concluded about the President’s power to make recess appointments?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words
hub.litigation.title.search,hub-title,litigation,As read,,search,suggestion,Search the dockets for a case or a party.,"hub, resting state (the h1)",,"measured to wrap at 1100/390 — a longer sentence changes the page; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
hub.litigation.title.explorer,hub-title,litigation,As read,,explorer,suggestion,Ask the federal courts what was filed since 2025.,"hub, resting state (the h1)",,"measured to wrap at 1100/390 — a longer sentence changes the page; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
hub.litigation.s1.query,hub-sample,litigation,As read,1,search,suggestion,deportation,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
hub.litigation.s1.question,hub-sample,litigation,As read,1,explorer,suggestion,What has been filed in the deportation cases since January 2025?,"hub, resting state (typed into the box)",,"explorer mode — the topic in the reader’s own words; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
hub.litigation.s2.query,hub-sample,litigation,As read,2,search,suggestion,habeas,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
hub.litigation.s2.question,hub-sample,litigation,As read,2,explorer,suggestion,What have habeas petitions asked the courts to do since January 2025?,"hub, resting state (typed into the box)",,"explorer mode — the topic in the reader’s own words; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
hub.litigation.s3.query,hub-sample,litigation,As read,3,search,suggestion,FOIA,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
hub.litigation.s3.question,hub-sample,litigation,As read,3,explorer,suggestion,Who has sued a federal agency for its records since January 2025?,"hub, resting state (typed into the box)",,"explorer mode — the topic in the reader’s own words; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
hub.frus.title.search,hub-title,frus,The record,,search,suggestion,Search the cables for a place or a name.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page; FRUS volumes end with the Cold War — every question here is a historical one
hub.frus.title.explorer,hub-title,frus,The record,,explorer,suggestion,Ask the diplomatic record what the cables said.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page; FRUS volumes end with the Cold War — every question here is a historical one
hub.frus.s1.query,hub-sample,frus,The record,1,search,suggestion,Berlin,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; FRUS volumes end with the Cold War — every question here is a historical one"
hub.frus.s1.question,hub-sample,frus,The record,1,explorer,suggestion,What does the diplomatic record show about the decisions behind the Berlin airlift?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; FRUS volumes end with the Cold War — every question here is a historical one
hub.frus.s2.query,hub-sample,frus,The record,2,search,suggestion,Marshall Plan,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; FRUS volumes end with the Cold War — every question here is a historical one"
hub.frus.s2.question,hub-sample,frus,The record,2,explorer,suggestion,How did the State Department record the making of the Marshall Plan?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; FRUS volumes end with the Cold War — every question here is a historical one
hub.frus.s3.query,hub-sample,frus,The record,3,search,suggestion,Mossadegh,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; FRUS volumes end with the Cold War — every question here is a historical one"
hub.frus.s3.question,hub-sample,frus,The record,3,explorer,suggestion,What do the declassified cables say about the 1953 coup in Iran?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; FRUS volumes end with the Cold War — every question here is a historical one
hub.fbi.title.search,hub-title,fbi,The record,,search,suggestion,Search the FBI’s Vault for a name or a file.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page; the FBI Vault has no document dates — nothing may ask when
hub.fbi.title.explorer,hub-title,fbi,The record,,explorer,suggestion,Ask the FBI’s Vault what it released.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page; the FBI Vault has no document dates — nothing may ask when
hub.fbi.s1.query,hub-sample,fbi,The record,1,search,suggestion,Capitol violence,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; the FBI Vault has no document dates — nothing may ask when"
hub.fbi.s1.question,hub-sample,fbi,The record,1,explorer,suggestion,What is in the Vault’s file on the January 6 Capitol violence?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; the FBI Vault has no document dates — nothing may ask when
hub.fbi.s2.query,hub-sample,fbi,The record,2,search,suggestion,Mueller,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; the FBI Vault has no document dates — nothing may ask when"
hub.fbi.s2.question,hub-sample,fbi,The record,2,explorer,suggestion,What did the Bureau release from the Special Counsel Mueller investigation?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; the FBI Vault has no document dates — nothing may ask when
hub.fbi.s3.query,hub-sample,fbi,The record,3,search,suggestion,D.B. Cooper,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; the FBI Vault has no document dates — nothing may ask when"
hub.fbi.s3.question,hub-sample,fbi,The record,3,explorer,suggestion,What does the Vault hold on the D.B. Cooper hijacking?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; the FBI Vault has no document dates — nothing may ask when
hub.sanctions.title.search,hub-title,sanctions,The record,,search,suggestion,Search the sanctions lists for a name.,"hub, resting state (the h1)",,"measured to wrap at 1100/390 — a longer sentence changes the page; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
hub.sanctions.title.explorer,hub-title,sanctions,The record,,explorer,suggestion,Ask the sanctions lists who is on them.,"hub, resting state (the h1)",,"measured to wrap at 1100/390 — a longer sentence changes the page; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
hub.sanctions.s1.query,hub-sample,sanctions,The record,1,search,suggestion,Gazprom,"hub, resting state (typed into the box)",checked 2026-09-18 against the sanctions entity and guidance filters (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
hub.sanctions.s1.question,hub-sample,sanctions,The record,1,explorer,suggestion,Which Gazprom companies are on the sanctions lists?,"hub, resting state (typed into the box)",,"explorer mode — the topic in the reader’s own words; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
hub.sanctions.s2.query,hub-sample,sanctions,The record,2,search,suggestion,Islamic Revolutionary Guard Corps,"hub, resting state (typed into the box)",checked 2026-09-18 against the sanctions entity and guidance filters (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
hub.sanctions.s2.question,hub-sample,sanctions,The record,2,explorer,suggestion,Who is listed in connection with the Islamic Revolutionary Guard Corps?,"hub, resting state (typed into the box)",,"explorer mode — the topic in the reader’s own words; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
hub.sanctions.s3.query,hub-sample,sanctions,The record,3,search,suggestion,general license,"hub, resting state (typed into the box)",checked 2026-09-18 against the sanctions entity and guidance filters (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
hub.sanctions.s3.question,hub-sample,sanctions,The record,3,explorer,suggestion,What does OFAC’s guidance say about general licenses?,"hub, resting state (typed into the box)",,"explorer mode — the topic in the reader’s own words; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
hub.commentary.title.search,hub-title,commentary,Commentary,,search,suggestion,Search the commentary for a phrase or a name.,"hub, resting state (the h1)",,"measured to wrap at 1100/390 — a longer sentence changes the page; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
hub.commentary.title.explorer,hub-title,commentary,Commentary,,explorer,suggestion,Ask the commentary what Lawfare made of it.,"hub, resting state (the h1)",,"measured to wrap at 1100/390 — a longer sentence changes the page; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
hub.commentary.s1.query,hub-sample,commentary,Commentary,1,search,suggestion,Insurrection Act,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
hub.commentary.s1.question,hub-sample,commentary,Commentary,1,explorer,suggestion,What has Lawfare published about the Insurrection Act?,"hub, resting state (typed into the box)",,"explorer mode — the topic in the reader’s own words; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
hub.commentary.s2.query,hub-sample,commentary,Commentary,2,search,suggestion,Section 702,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
hub.commentary.s2.question,hub-sample,commentary,Commentary,2,explorer,suggestion,What has been written about reauthorizing Section 702?,"hub, resting state (typed into the box)",,"explorer mode — the topic in the reader’s own words; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
hub.commentary.s3.query,hub-sample,commentary,Commentary,3,search,suggestion,export controls,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
hub.commentary.s3.question,hub-sample,commentary,Commentary,3,explorer,suggestion,What has been written about export controls and national security?,"hub, resting state (typed into the box)",,"explorer mode — the topic in the reader’s own words; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
chip.congress.1,spoke-chip,congress,,1,,suggestion,Find every time Pam Bondi has been asked about the Epstein files,nowhere — declared but never read,,suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; Congress reaches 1789 only for public laws; hearings from 1933
chip.congress.2,spoke-chip,congress,,2,,suggestion,Trace the legislative history of FISA Section 702,nowhere — declared but never read,,suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; Congress reaches 1789 only for public laws; hearings from 1933
chip.congress.3,spoke-chip,congress,,3,,suggestion,What has Congress ever heard about the National Endowment for Democracy?,nowhere — declared but never read,,suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; Congress reaches 1789 only for public laws; hearings from 1933
chip.congress.4,spoke-chip,congress,,4,,suggestion,Which FISA-reform bills actually became law?,nowhere — declared but never read,,suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; Congress reaches 1789 only for public laws; hearings from 1933
chip.fbi.1,spoke-chip,fbi,,1,,suggestion,What do the FBI’s files show about the 9/11 investigation?,nowhere — declared but never read,,suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; the FBI Vault has no document dates — nothing may ask when
chip.fbi.2,spoke-chip,fbi,,2,,suggestion,"What was COINTELPRO, according to the Bureau’s own records?",nowhere — declared but never read,,suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; the FBI Vault has no document dates — nothing may ask when
chip.fbi.3,spoke-chip,fbi,,3,,suggestion,What’s in the FBI’s file on the Rosenberg case?,nowhere — declared but never read,,suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; the FBI Vault has no document dates — nothing may ask when
chip.fbi.4,spoke-chip,fbi,,4,,suggestion,How did the FBI investigate the anthrax letters (Amerithrax)?,nowhere — declared but never read,,suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; the FBI Vault has no document dates — nothing may ask when
chip.fr.1,spoke-chip,fr,,1,,suggestion,What Biden-era gun regulations were rescinded by the Trump administration?,nowhere — declared but never read,,suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; the Federal Register’s rules are complete from 1994; notices are still loading
chip.fr.2,spoke-chip,fr,,2,,suggestion,Show me all sanctions notices emanating from the Ukraine war.,nowhere — declared but never read,,suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; the Federal Register’s rules are complete from 1994; notices are still loading
chip.fr.3,spoke-chip,fr,,3,,suggestion,What is open for public comment at EPA right now?,nowhere — declared but never read,,suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; the Federal Register’s rules are complete from 1994; notices are still loading
chip.fr.4,spoke-chip,fr,,4,,suggestion,Which rules implement Executive Order 14024?,nowhere — declared but never read,,suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; the Federal Register’s rules are complete from 1994; notices are still loading
chip.litigation.1,spoke-chip,litigation,,1,,suggestion,What's the administration's win rate in immigration cases?,nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
chip.litigation.2,spoke-chip,litigation,,2,,suggestion,Show me cases challenging the birthright-citizenship EO.,nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
